16594-17253 JTAG: Bitstring (TDI): DR TDI: 000000000000000000000000000000000 (0x0), 33 bits JTAG: Bitstring (TDO): DR TDO: 000000000000000000000000000000001 (0x1), 33 bits
17314-17972 JTAG: Bitstring (TDI): DR TDI: 000000000000000000000000000000000 (0x0), 33 bits JTAG: Bitstring (TDO): DR TDO: 000000000000000000111111111111000 (0x7ff8), 33 bits
18033-18692 JTAG: Bitstring (TDI): DR TDI: 000000000000000000000000000000000 (0x0), 33 bits JTAG: Bitstring (TDO): DR TDO: 000000000000000000111100000000000 (0x7800), 33 bits
18786-18914 JTAG: Bitstring (TDI): IR TDI: 000001101 (0xd), 9 bits JTAG: Bitstring (TDO): IR TDO: 000001101 (0xd), 9 bits
18988-19438 JTAG: Bitstring (TDI): DR TDI: 000000000000000000000000000000010 (0x2), 33 bits JTAG: Bitstring (TDO): DR TDO: 000000000000000000000000000000010 (0x2), 33 bits
19492-19942 JTAG: Bitstring (TDI): DR TDI: 000000000000000001111111111110000 (0xfff0), 33 bits JTAG: Bitstring (TDO): DR TDO: 000000000000000001111111111110000 (0xfff0), 33 bits
19996-20446 JTAG: Bitstring (TDI): DR TDI: 000000000000000001111000000000000 (0xf000), 33 bits JTAG: Bitstring (TDO): DR TDO: 000000000000000001111000000000000 (0xf000), 33 bits
30932-31059 JTAG: Bitstring (TDI): IR TDI: 000000011 (0x3), 9 bits JTAG: Bitstring (TDO): IR TDO: 000000011 (0x3), 9 bits
31153-31281 JTAG: Bitstring (TDI): IR TDI: 000001111 (0xf), 9 bits JTAG: Bitstring (TDO): IR TDO: 000001111 (0xf), 9 bits
31362-31698 JTAG: Bitstring (TDI): DR TDI: 00000000000000000 (0x0), 17 bits JTAG: Bitstring (TDO): DR TDO: 00100000111000001 (0x41c1), 17 bits
31796-31924 JTAG: Bitstring (TDI): IR TDI: 000010001 (0x11), 9 bits JTAG: Bitstring (TDO): IR TDO: 000010001 (0x11), 9 bits
